Contig,Restriction sites,Length,Coverage,Self Contact
contig_13793,118,18745,159,
contig_13794,95,11281,60,
contig_13798,3952,240342,84510,
contig_13800,70,4915,2,
contig_13804,366,40702,45,
contig_13806,12494,1382516,12130,
contig_13808,37,4694,3,
contig_13810,566,51244,81,
contig_13811,411,51509,1654,
contig_13812,801,72691,187,
contig_13816,1112,215428,63,
contig_13818,2193,171515,1021,
contig_13825,13499,1545220,12024,
contig_13833,4528,475198,641,
contig_13836,836,62534,130,
contig_13838,189,28453,20,
contig_13839,767,96836,6350,
contig_13840,1420,172710,16514,
contig_13841,418,58615,22047,
contig_13844,656,81468,4014,
contig_13846,864,113324,524,
contig_13847,848,111880,739,
contig_13848,270,36567,2301,
contig_1385,25425,3252074,23426,
contig_13852,491,56460,1305,
contig_13853,1145,131052,2292,
contig_13854,205,26310,53,
contig_13855,1169,142546,4174,
contig_13857,540,53884,147,
contig_1386,17056,2942043,232795,
contig_13860,312,37124,17,
contig_13866,660,77889,2450,
contig_13867,1309,128842,193,
contig_13871,10674,631956,16194,
contig_13878,2331,302473,5514,
contig_13881,1105,97236,635,
contig_1389,1932,353656,1924,
contig_13895,371,44249,41,
contig_139,14,6024,11285,
contig_13901,284,67577,140,
contig_1391,13925,1867153,8794,
contig_13910,248,19900,2,
contig_13914,135,12945,1,
contig_13915,467,36775,1,
contig_1392,766,145404,465,
contig_1393,243,37240,15,
contig_13934,2622,165849,568,
contig_13935,1754,109540,38,
contig_1394,334,78915,119,
contig_13945,253,15302,5,
contig_13963,482,108034,170,
contig_13966,2266,269232,372,
contig_1397,1180,146413,249,
contig_13978,3121,310337,665,
contig_13979,1791,169246,940,
contig_1398,240,23772,431,
contig_13981,898,116819,177,
contig_13990,312,49840,63,
contig_13991,379,53604,55,
contig_13994,3495,263169,288,
contig_14,40,4767,2241,
contig_1400,171,12106,60,
contig_14004,713,69094,1174,
contig_14011,1623,204042,15,
contig_14020,228,25300,5,
contig_14026,21990,2375289,12105,
contig_14027,242,34146,26,
contig_1403,296,13513,15,
contig_14033,290,34631,19,
contig_1404,12420,702132,11322,
contig_14040,1906,185830,1925,
contig_14044,285,71967,108,
contig_14052,2997,333688,3254,
contig_14053,713,81886,122,
contig_14056,489,48201,24,
contig_14059,425,23572,21,
contig_14063,531,53748,65,
contig_14065,306,19084,14,
contig_14072,3453,291445,442,
contig_14078,2661,269120,45,
contig_14081,5182,784521,831,
contig_14083,750,78197,38,
contig_14088,106,34752,131,
contig_14092,2058,220421,217,
contig_14093,287,36316,151,
contig_14095,789,83035,153,
contig_14096,631,74139,99,
contig_141,296,57522,2040,
contig_14102,946,187707,137,
contig_14105,37,11426,12,
contig_14109,3308,419154,1237,
contig_14110,178,19377,17,
contig_14112,73,8319,22,
contig_14113,164,19506,11,
contig_14115,490,63031,59,
contig_14118,223,42724,89,
contig_14119,128,16443,101,
contig_14122,250,28385,43,
contig_14125,152,57054,307,
contig_14129,30445,3450510,190758,
contig_14131,814,84914,182,
contig_14134,12011,1386698,8994,
contig_1414,915,87465,253,
contig_14147,8784,991821,4841,
contig_1416,288,38790,22583,
contig_14166,1160,113450,122,
contig_14177,217,59646,84,
contig_14179,364,95445,156,
contig_14192,311,36428,173,
